HouseAge,Bedroom,FullBath,LotArea,Location,SalePrice
2003,3,2,8450,Urban,208500
1976,3,2,9600,SubUrban,181500
2001,3,2,11250,Rural,223500
1915,3,1,9550,Urban,140000
2000,4,2,14260,SubUrban,250000
1993,1,1,14115,Rural,143000
2004,3,2,10084,Urban,307000
1973,3,2,10382,SubUrban,200000
1931,2,2,6120,Rural,129900
1939,2,1,7420,Urban,118000
1965,3,1,11200,SubUrban,129500
2005,4,3,11924,Urban,345000
1962,2,1,12968,SubUrban,144000
2006,3,2,10652,Rural,279500
1960,2,1,10920,Urban,157000
1929,2,1,6120,SubUrban,132000
1970,2,1,11241,Urban,149000
1967,2,2,10791,SubUrban,90000
2004,3,1,13695,Rural,159000
1958,3,1,7560,Urban,139000
2005,4,3,14215,SubUrban,325300
1930,3,1,7449,Urban,139400
2002,3,2,9742,SubUrban,230000
1976,3,1,4224,Rural,129900
1968,3,1,8246,Urban,154000
2007,3,2,14230,SubUrban,256300
1951,3,1,7200,Urban,134800
2007,3,2,11478,SubUrban,306000
1957,2,1,16321,Rural,207500
1927,1,1,6324,Urban,68500
1920,3,1,8500,SubUrban,40000
1966,3,1,8544,Urban,149350
2007,3,2,11049,SubUrban,179900
1959,4,1,10552,Rural,165500
2005,2,2,7313,Urban,277500
2004,4,3,13418,SubUrban,309000
1994,3,1,10859,Urban,145000
1954,3,1,8532,SubUrban,153000
1953,3,1,7922,Rural,109000
1955,2,2,6040,Urban,82000
1965,3,2,8658,SubUrban,160000
1959,2,1,16905,Urban,170000
1983,2,1,9180,SubUrban,144000
1975,3,1,9200,Urban,130250
1959,3,1,7945,Urban,141000
2005,2,2,7658,Urban,319900
2003,1,1,12822,SubUrban,239686
2006,3,2,11096,Urban,249700
1920,2,2,4456,SubUrban,113000
1966,3,1,7742,Urban,127000
1997,3,2,13869,Urban,177000
1934,3,1,6240,Urban,114500
1963,2,1,8472,SubUrban,110000
1981,0,0,50271,Urban,385000
1955,3,1,7134,SubUrban,130000
1964,3,2,10175,Urban,180500
1999,3,2,2645,Urban,172500
2004,3,2,11645,Urban,196500
2006,3,3,13682,SubUrban,438780
1972,2,1,7200,Urban,124900
2004,3,1,13072,SubUrban,158000
1920,3,1,7200,Urban,101000
2006,2,2,6442,Urban,202500
1921,3,2,10300,Urban,140000
1997,3,2,9375,SubUrban,219500
2004,4,2,9591,SubUrban,317000
1970,3,2,19900,SubUrban,180000
2003,3,2,10665,SubUrban,226000
1945,2,1,4608,SubUrban,80000
1953,3,2,15593,SubUrban,225000
1973,3,2,13651,Urban,244000
1982,2,1,7599,Urban,129500
1998,3,2,10141,Urban,185000
1954,3,1,10200,Urban,144900
1915,3,2,5790,Urban,107400
1973,2,1,1596,Urban,91000
1956,2,1,8475,Urban,135750
1948,2,1,8635,SubUrban,127000
1968,4,2,10778,Urban,136500
1910,2,1,10440,SubUrban,110000
1968,4,2,13000,Urban,193500
1998,2,2,4500,Urban,153500
2007,3,2,10206,Urban,245000
1960,3,1,8892,Urban,126500
1995,3,2,8530,SubUrban,168500
1991,4,2,16059,Urban,260000
2005,3,2,11911,SubUrban,174000
2009,2,2,3951,Urban,164500
1915,2,1,8470,Rural,85000
1994,3,1,8070,Rural,123600
1950,2,1,7200,Rural,109900
1961,2,1,8500,SubUrban,98600
1921,2,1,13360,Urban,163500
1910,4,2,7200,SubUrban,133900
1997,3,2,9337,Urban,204750
1993,3,2,9765,SubUrban,185000
1999,3,2,10264,Urban,214000
1965,3,1,10921,SubUrban,94750
1920,2,1,10625,Urban,83000
1959,3,1,9320,Urban,128950
1977,3,2,10603,Urban,205000
1985,3,2,9206,Urban,178000
1979,4,2,7018,SubUrban,118964
2009,3,2,10402,Urban,198900
1931,4,1,7758,SubUrban,169500
2003,3,2,9375,Urban,250000
1885,2,1,10800,Urban,100000
1948,2,1,6000,Urban,115000
1919,3,2,8500,Urban,115000
1977,3,2,11751,SubUrban,190000
1954,4,2,9525,Urban,136900
2000,3,2,7750,SubUrban,180000
2007,4,2,9965,Urban,383970
1953,3,2,21000,SubUrban,217000
1945,3,2,7259,Urban,259500
1999,2,2,3230,SubUrban,176000
1962,3,1,11616,Urban,139000
2006,2,1,8536,Urban,155000
1990,5,3,12376,Urban,320000
2005,3,2,8461,Urban,163990
1969,1,1,21453,SubUrban,180000
1939,3,1,6060,Urban,100000
1958,3,1,9464,SubUrban,136000
1993,2,2,7892,Urban,153900
1979,3,2,17043,Urban,181000
1935,2,1,6780,Urban,84500
1976,2,2,4928,Urban,128000
1930,3,1,4388,SubUrban,87000
1966,3,1,7590,Urban,155000
1958,3,1,8973,SubUrban,150000
1966,4,2,14200,Urban,226000
2000,3,2,12224,SubUrban,244000
1959,3,1,7388,Urban,150750
2001,2,2,6853,SubUrban,220000
1968,3,2,10335,Urban,180000
1970,3,2,10400,Urban,174000
1967,3,2,10355,Urban,143000
1988,5,3,11070,Rural,171000
1999,3,2,9066,Rural,230000
1997,3,2,15426,Rural,231500
1971,3,1,10500,SubUrban,115000
2005,3,2,11645,Urban,260000
1952,4,2,8520,Urban,166000
1999,3,2,10335,Urban,204000
1963,6,2,9100,Urban,125000
2004,3,2,2522,SubUrban,130000
1931,2,1,6120,Urban,105000
2001,3,2,9505,SubUrban,222500
2004,3,1,7500,Urban,141000
1936,3,1,6240,SubUrban,115000
1975,3,1,10356,Urban,122000
2007,2,2,13891,SubUrban,372402
1971,4,2,14803,Urban,190000
1960,1,1,13500,Urban,235000
1923,4,1,11340,Urban,125000
1924,2,1,9600,Urban,79000
1950,2,1,7200,SubUrban,109500
2009,4,2,12003,Urban,269500
2004,3,2,12552,SubUrban,254900
2005,4,2,19378,Urban,320000
1984,3,2,11120,Urban,162500
2003,3,2,13688,Urban,412500
2005,3,2,12182,Rural,220000
1956,1,1,5500,Rural,103200
1926,3,2,5400,Rural,152000
1940,4,2,10106,SubUrban,127500
1955,2,1,10708,Urban,190000
2007,3,1,10562,SubUrban,325624
2004,3,2,8244,Urban,183500
1981,2,2,16669,SubUrban,228000
1941,2,1,12358,Urban,128500
1960,3,1,31770,Urban,215000
1987,2,2,5306,Urban,239000
1961,3,1,10197,Urban,163000
1986,3,2,12416,SubUrban,184000
1950,4,2,12615,Urban,243000
1988,4,2,10029,SubUrban,211000
1958,4,2,13650,Urban,172500
2008,1,2,17423,Urban,501837
1923,2,1,8520,Urban,100000
2000,3,2,2117,Rural,177000
1920,4,1,7588,Rural,200100
1957,3,1,9060,Rural,120000
2003,3,2,11426,SubUrban,200000
1908,3,1,7438,Urban,127000
1892,4,2,22950,SubUrban,475000
1990,3,2,9947,Urban,173000
1916,3,2,10410,SubUrban,135000
1979,2,0,7018,Urban,153337
2001,0,1,4923,Urban,286000
1932,3,2,10570,Urban,315000
1972,4,1,7472,Urban,184000
1999,3,2,9017,SubUrban,192000
2004,3,2,2522,Urban,130000
1972,3,1,7180,SubUrban,127000
1976,3,2,2280,Rural,148500
2007,3,2,9416,Rural,311872
1918,4,2,25419,Rural,235000
1912,5,1,5520,Urban,104000
2004,3,2,9591,SubUrban,274900
2003,2,2,8546,Urban,140000
1977,3,2,10125,SubUrban,171500
1924,2,2,7000,Urban,112000
2004,1,1,4438,SubUrban,149000
1947,2,1,3500,Urban,110000
1990,3,2,11851,SubUrban,180500
1962,3,1,13673,Urban,143900
1960,3,1,12493,Urban,141000
1988,3,2,14364,Urban,277000
1964,3,1,8250,Urban,145000
1925,2,1,5604,SubUrban,98000
2009,3,2,10420,Urban,186000
2009,3,2,8640,SubUrban,252678
1995,3,1,13568,Rural,156000
1977,3,1,10900,Rural,161750
1957,2,1,10011,Urban,134450
2004,3,2,8450,SubUrban,210000
1925,3,1,9906,Urban,107000
1939,3,1,15660,SubUrban,311500
2005,2,2,3010,Rural,167240
2006,2,2,8990,Rural,204900
2002,4,2,8068,Urban,200000
1975,3,2,11475,SubUrban,179900
1971,2,1,10500,Urban,97000
2003,3,2,13472,SubUrban,386250
1971,3,2,1680,Rural,112000
1995,4,2,9950,Rural,290000
1970,2,1,1869,Urban,106000
1967,3,1,8521,SubUrban,125000
2005,2,2,3182,Urban,192500
1959,3,1,8760,SubUrban,148000
1995,4,2,15138,Rural,403000
1972,2,1,1680,Rural,94500
1976,3,1,10650,Urban,128200
2002,4,2,7851,SubUrban,216500
1971,2,1,1680,Urban,89500
2004,3,2,8773,SubUrban,185500
1993,3,2,9453,Rural,194500
2007,3,2,12030,Rural,318000
1945,3,1,8741,Urban,113000
2008,3,2,9000,SubUrban,262500
1945,2,1,3880,Urban,110500
1900,3,1,5000,SubUrban,79000
1980,3,1,10762,Rural,120000
1994,3,2,8880,Rural,205000
1988,3,2,10400,Urban,241500
1910,4,2,9142,SubUrban,137000
1954,2,1,11310,Urban,140000
2003,3,2,11317,SubUrban,180000
1958,4,2,159000,Rural,277000
1940,3,1,5350,Rural,76500
2006,2,2,4750,Urban,235000
2004,3,2,8366,SubUrban,173000
1964,3,2,9350,Urban,158000
1957,3,1,8400,SubUrban,145000
1999,4,2,8738,Rural,230000
2003,3,2,8791,Rural,207500
2006,3,2,8814,Urban,220000
2001,3,2,12435,SubUrban,231500
1956,2,1,12702,Urban,97000
1962,3,1,19296,SubUrban,176000
2007,3,2,9588,Rural,276000
1977,3,1,8471,Rural,151000
1929,3,1,5500,Urban,130000
1925,2,1,5232,SubUrban,73000
1981,3,2,12090,Urban,175500
1997,3,2,11207,SubUrban,185000
1939,4,2,8400,Rural,179500
1940,2,1,6900,Rural,120500
1976,3,1,7917,Urban,148000
2006,3,2,10728,SubUrban,266000
1954,2,1,39104,Urban,241500
1999,4,2,11764,SubUrban,290000
1958,3,2,9600,Rural,139000
1982,2,1,8314,Rural,124500
1925,3,2,7264,Urban,205000
2003,3,2,9196,SubUrban,201000
1951,2,1,19138,Urban,141000
2006,3,2,14450,SubUrban,415298
1977,4,2,10005,Rural,192000
1989,3,2,11287,Rural,228500
2006,2,2,7200,Urban,185000
2007,2,2,5063,SubUrban,207500
2008,3,2,9612,Urban,244600
1992,2,2,8012,SubUrban,179200
2006,2,2,4251,Urban,164700
1962,3,1,9786,Urban,159000
1971,3,1,8125,Urban,88000
1967,3,1,9819,Urban,122000
1915,3,1,8730,SubUrban,153575
2006,3,2,15611,Urban,233230
1912,6,2,5687,Rural,135900
1949,3,1,11409,Rural,131000
1977,3,2,16659,Rural,235000
1953,3,1,9600,Rural,167000
1984,3,1,7937,Rural,142500
1950,4,1,13710,Rural,152000
1997,3,2,7399,Rural,239000
1968,3,1,11700,Rural,175000
1950,3,1,14000,Rural,158500
1953,2,1,15750,Rural,157000
1998,4,2,16226,Rural,267000
2001,3,2,13704,Rural,205000
1972,3,1,9800,Rural,149900
1880,3,3,18386,Rural,295000
2004,3,2,10386,Urban,305900
1990,4,2,13474,Urban,225000
1920,3,1,7920,SubUrban,89500
1940,1,1,12342,Urban,82500
2003,3,2,12378,SubUrban,360000
1993,3,2,7685,Rural,165600
1948,2,1,8000,Rural,132000
1939,3,1,7800,Rural,119900
1965,3,2,215245,Rural,375000
1925,3,1,9600,Urban,178000
2004,3,2,7795,Urban,188500
1980,4,2,13005,SubUrban,260000
2006,3,2,9000,Urban,270000
1993,4,2,9900,SubUrban,260000
1980,3,2,14115,Rural,187500
2006,4,3,16259,Rural,342643
2004,4,2,12099,Rural,354000
1986,4,2,10380,Rural,301000
1955,3,1,5820,Urban,126175
1967,5,2,11275,Urban,242000
1941,2,1,5000,SubUrban,87000
1993,1,1,10846,Urban,324000
1960,3,1,11600,SubUrban,145250
1916,5,2,11888,Urban,214500
1920,3,1,6402,SubUrban,78000
1964,6,2,10624,Urban,119000
1958,3,1,8176,SubUrban,139000
2003,3,2,10655,Urban,284000
2004,2,2,8198,Urban,207000
1998,3,2,9042,Urban,192000
1965,3,2,164660,Urban,228950
2005,3,2,14157,SubUrban,377426
2002,3,2,9135,Urban,214000
1984,3,2,14145,SubUrban,202500
1958,3,1,12400,Urban,155000
2002,4,2,14191,Urban,202900
1950,2,1,8400,Urban,82000
1949,2,2,8544,Urban,87500
2005,2,2,8849,SubUrban,266000
1976,3,1,2592,Urban,85000
1939,3,1,6435,SubUrban,140200
1960,2,1,12772,Urban,151500
1960,3,2,17600,SubUrban,157500
2003,2,2,2448,Urban,154000
2005,4,2,20431,SubUrban,437154
2007,2,2,7820,Urban,318061
1986,2,1,5271,Urban,190000
1941,3,1,9084,Urban,95000
1928,2,1,8520,Urban,105900
1940,2,1,8400,SubUrban,140000
1995,3,2,11249,Urban,177500
1992,3,2,9248,SubUrban,173000
1976,3,1,4224,Urban,134000
1958,3,1,6930,Urban,130000
1998,3,2,12011,Urban,280000
1978,2,1,7540,Urban,156000
1940,3,1,9144,SubUrban,145000
2003,4,3,7301,Urban,198500
1972,2,1,1680,SubUrban,118000
1976,3,2,18800,Urban,190000
1920,3,1,10690,SubUrban,147000
1963,3,1,9500,Urban,159000
1962,3,1,9150,SubUrban,165000
1954,2,1,7800,Urban,132000
1959,3,1,9830,Urban,162000
2000,3,2,8121,Urban,172400
1959,4,2,17120,Urban,134432
1984,2,1,7175,SubUrban,125000
1953,3,1,10634,Urban,123000
2003,4,2,8200,SubUrban,219500
1922,1,0,10020,Urban,61000
1996,2,1,8846,Urban,148000
2004,4,3,11143,Urban,340000
2010,1,1,11394,Urban,394432
2000,3,2,8123,SubUrban,179000
1924,3,2,5000,Urban,127000
2006,2,2,7200,SubUrban,187750
2006,3,2,9245,Urban,213500
1928,2,1,9000,SubUrban,76000
1992,3,2,53107,Urban,240000
2004,2,2,3182,SubUrban,192000
1910,5,1,8410,Urban,81000
1976,3,1,7200,Urban,125000
1999,3,2,9382,Urban,191000
2007,3,2,12474,Urban,426000
1900,4,1,8405,SubUrban,119000
2001,3,2,12209,Urban,215000
1959,3,1,8339,SubUrban,106500
1941,2,1,7446,Urban,100000
1940,2,1,10134,Urban,109000
1956,3,1,9571,Urban,129000
1972,2,1,7200,Urban,123000
1962,4,2,7590,SubUrban,169500
1920,2,1,8967,Urban,67000
2006,2,2,8125,SubUrban,241000
1996,1,1,14963,Urban,245500
2005,3,2,8767,SubUrban,164990
1940,2,1,10200,Urban,108000
1998,4,2,12090,SubUrban,258000
1995,3,2,10364,Urban,168000
1976,3,2,9991,Urban,150000
1936,3,1,10480,Urban,115000
1915,4,2,15576,Urban,177000
2006,3,2,14154,SubUrban,280000
2007,3,2,10800,Urban,339750
1958,3,1,9571,SubUrban,60000
1955,3,1,34650,Urban,145000
2009,2,2,4403,Urban,222000
1927,2,1,8960,Urban,115000
1993,3,2,11228,Urban,228000
2007,3,2,8899,SubUrban,181134
1978,3,1,7844,Urban,149500
1918,4,2,22420,SubUrban,239000
1940,3,1,8160,Urban,126000
1968,3,1,8450,SubUrban,142000
1997,2,2,7060,Urban,206300
1977,3,2,16635,SubUrban,215000
1954,2,1,21750,Urban,113000
1998,4,2,9200,Urban,315000
1956,2,1,9000,Urban,139000
1946,3,1,3378,Urban,135000
1989,2,2,12800,SubUrban,275000
1957,3,1,8593,Urban,109008
2007,2,2,6762,SubUrban,195400
1988,3,2,11457,Urban,175000
1971,2,1,1680,Urban,85400
1920,4,1,5586,Urban,79900
1971,2,1,1920,Urban,122500
1997,3,2,10839,SubUrban,181000
1972,1,1,1890,Urban,81000
1996,3,2,10667,SubUrban,212000
1920,2,1,4400,Urban,116000
1926,2,1,6000,SubUrban,119000
1913,2,1,4280,Urban,90350
1920,3,1,12354,SubUrban,110000
2008,2,2,15431,Urban,555000
1955,4,2,12108,Urban,118000
1930,3,2,6240,Urban,162900
2006,2,2,3922,Urban,172500
1994,4,2,8750,SubUrban,210000
1956,3,1,9855,Urban,127500
1966,2,2,16492,SubUrban,190000
1998,4,2,11214,Urban,199900
1937,3,2,8600,Urban,119500
1948,2,1,6000,Urban,120000
1930,2,1,5684,Urban,110000
1975,2,2,70761,SubUrban,280000
1996,3,2,9303,Urban,204000
2008,3,2,9000,SubUrban,210000
1976,4,2,9297,Urban,188000
1973,3,1,9600,SubUrban,175500
1916,4,1,4571,Urban,98000
1954,2,1,53227,SubUrban,256000
1925,3,1,5100,Urban,161000
1950,3,1,7015,Urban,110000
2009,3,2,8004,Urban,263435
1936,3,1,7200,Urban,155000
1965,3,1,8281,SubUrban,62383
1934,3,1,11988,Urban,188700
1978,3,2,8430,SubUrban,124000
2004,2,2,3072,Urban,178740
1970,2,1,10628,Urban,167000
1942,3,1,9480,Urban,146500
2006,3,2,11428,Urban,250000
1993,3,2,9291,SubUrban,187000
1985,1,1,6820,Urban,212000
1977,3,2,11952,SubUrban,190000
2005,2,1,3675,Urban,148000
2006,2,2,14977,SubUrban,440000
2000,2,2,5330,Urban,251000
1963,2,1,8480,SubUrban,132500
1997,3,2,13125,Urban,208900
2006,3,2,13693,Urban,380000
2007,3,2,10637,Urban,297000
1937,2,1,5925,Urban,89471
2004,3,2,16033,SubUrban,326000
2003,2,2,11846,Urban,374000
1915,4,1,2500,SubUrban,155000
1998,2,2,4500,Urban,164000
1962,3,1,7758,Urban,132500
1950,3,1,9600,Urban,147000
1965,3,1,10289,Urban,156000
1971,3,2,12243,SubUrban,175000
1900,3,2,10800,Urban,160000
1970,1,1,1526,SubUrban,86000
1976,3,1,2665,Urban,115000
1941,3,1,9490,SubUrban,133000
2006,3,2,15578,Urban,172785
1960,3,1,7931,SubUrban,155000
1938,2,1,5784,Urban,91300
1920,2,1,7879,Urban,34900
1992,4,3,12692,Urban,430000
1925,4,2,9120,Urban,184000
1967,3,1,7800,SubUrban,130000
1958,2,1,7535,Urban,120000
1973,3,1,1890,SubUrban,113000
2005,3,2,9803,Urban,226700
1965,2,1,9170,Urban,140000
1959,1,2,15602,Urban,289000
1974,3,2,2308,Urban,147000
1952,4,2,7596,SubUrban,124500
1993,3,2,9554,Urban,215000
2009,2,2,7862,SubUrban,208300
1928,3,2,9600,Urban,161000
1959,3,1,9600,SubUrban,124500
1951,2,1,14559,Urban,164900
2005,2,2,6792,SubUrban,202665
1958,3,1,9100,Urban,129900
1983,3,1,9187,Urban,134000
1926,2,1,10594,Urban,96500
2009,3,2,12220,Urban,402861
1972,3,2,10448,SubUrban,158000
1996,3,2,10208,Urban,265000
1998,3,2,9531,SubUrban,211000
1926,3,1,10918,Urban,234000
1900,3,2,10800,Urban,106250
1957,3,1,11988,Urban,150000
1947,3,2,5000,Urban,159000
2007,3,3,40094,SubUrban,184750
1996,3,2,11787,Urban,315750
2005,3,2,7500,SubUrban,176000
1956,2,1,13300,Urban,132000
2008,3,2,14948,SubUrban,446261
1920,2,1,9098,Urban,86000
1957,4,3,32668,SubUrban,200624
1988,3,2,10200,Urban,175000
1920,3,2,6155,Urban,128000
1955,2,1,7200,Urban,107500
1946,1,1,5000,Urban,39300
2004,3,2,9056,SubUrban,178000
1910,3,1,7000,Urban,107500
1998,3,2,8924,SubUrban,188000
1972,3,1,12735,Urban,111250
1968,3,1,11553,Urban,158000
2001,3,2,11423,Urban,272000
2006,2,2,14601,Urban,315000
2000,4,2,11000,SubUrban,248000
1998,3,2,10140,Urban,213250
1998,1,1,4058,SubUrban,133000
2006,3,2,17104,Urban,179665
1988,4,2,13837,SubUrban,229000
1923,3,1,8737,Urban,210000
1970,2,1,7244,SubUrban,129500
1955,2,1,8235,Urban,125000
2003,4,2,9375,Urban,263000
1977,2,2,4043,Urban,140000
1957,3,1,6000,Urban,112500
2006,3,2,11146,SubUrban,255500
1949,2,2,8777,Urban,108000
2003,3,2,10625,SubUrban,284000
1922,2,1,6380,Urban,113000
1957,2,1,14850,Urban,141000
1920,3,1,11040,Urban,108000
1996,3,2,21872,Urban,175000
2003,2,2,3196,SubUrban,234000
1957,3,1,11341,Rural,121500
1974,2,1,10010,Rural,170000
1940,3,1,13907,Rural,108000
1918,4,2,21780,Rural,185000
1992,4,2,13346,Rural,268000
1915,4,1,6858,Rural,128000
2005,4,2,11198,Rural,325000
2004,3,2,10171,Urban,214000
1983,1,1,12327,Urban,316600
1979,2,1,7032,Urban,135960
1965,6,2,13101,SubUrban,142600
1959,2,1,7332,Urban,120000
2009,3,2,13159,SubUrban,224500
2000,3,2,9967,Urban,170000
1971,3,1,10500,Urban,139000
1947,2,1,8480,Urban,118500
1928,3,2,6292,Urban,145000
1966,3,1,11777,SubUrban,164500
2007,2,2,3604,Urban,146000
1954,4,2,12150,SubUrban,131500
1960,3,1,14585,Urban,181900
2008,3,2,12704,SubUrban,253293
1990,3,1,11841,Urban,118500
1893,3,3,13500,SubUrban,325000
1935,3,1,6120,Urban,133000
2005,2,2,11443,Urban,369900
1918,2,1,10267,Urban,130000
1982,2,1,8740,Urban,137000
1968,1,1,25095,SubUrban,143000
1930,2,1,9100,Urban,79500
2004,3,2,8320,SubUrban,185900
2008,3,2,13478,Urban,451950
1982,2,1,6600,Urban,138000
2003,1,1,4435,Urban,140000
1975,3,1,7990,Urban,110000
2005,3,2,11302,SubUrban,319000
1910,3,1,3600,Urban,114504
2006,2,0,3922,SubUrban,194201
1977,3,2,12984,Urban,217500
1980,3,2,1950,SubUrban,151000
2005,3,2,10927,Urban,275000
1937,3,1,9000,SubUrban,141000
1992,3,2,10041,Urban,220000
2004,2,2,3182,Urban,151000
2002,3,2,12803,Urban,221000
1965,3,2,13600,Urban,205000
1996,3,1,12464,SubUrban,152000
1948,3,3,7800,Urban,225000
1934,4,2,12168,SubUrban,359100
1961,3,1,7943,Urban,118500
2000,3,2,11050,Urban,313000
1978,3,2,10395,Urban,148000
2001,3,2,11885,Urban,261500
2007,3,1,8402,SubUrban,147000
1972,1,1,1491,Urban,75500
1963,3,1,8800,SubUrban,137500
2002,3,2,7861,Urban,183200
1954,2,1,7227,SubUrban,105500
2007,3,2,11694,Urban,314813
2003,4,2,12244,SubUrban,305000
1914,2,1,8248,Urban,67000
1974,4,2,10800,Urban,240000
1977,3,1,7064,Urban,135000
2000,2,2,2117,Urban,168500
1972,4,1,10400,SubUrban,165150
1962,3,1,10000,Urban,160000
1960,3,1,12342,SubUrban,139900
1955,3,1,9600,Urban,153000
1969,5,1,11606,Urban,135000
1964,3,1,9020,Urban,168500
1880,3,1,9000,Urban,124000
2006,2,2,4590,SubUrban,209500
1977,3,2,11900,Urban,82500
1954,3,1,9250,SubUrban,139400
1980,0,0,6979,Urban,144000
1914,8,2,10896,Rural,200000
1936,1,1,6120,Rural,60000
1954,3,2,6000,Rural,93000
1910,2,1,8777,Rural,85000
2006,1,2,3982,Rural,264561
2003,1,1,12677,Rural,274000
2001,3,2,7050,Rural,226000
1972,4,2,13860,SubUrban,345000
1969,4,2,10793,Urban,152000
2009,2,2,9187,SubUrban,370878
1971,3,1,10530,Urban,143250
1950,3,1,7200,Urban,98300
1953,3,1,10452,Urban,155000
1966,4,1,7700,Urban,155000
1970,1,1,1936,SubUrban,84500
2007,3,2,8125,Urban,205950
1940,4,1,9084,SubUrban,108000
1996,2,2,8750,Urban,191000
1906,3,1,10320,SubUrban,135000
1995,2,2,10437,Urban,350000
1971,3,1,1680,SubUrban,88000
1959,3,1,10007,Urban,145500
1931,3,1,7200,Urban,149000
1948,3,1,17503,Urban,97500
1964,3,1,9937,Urban,167000
1976,3,2,12384,SubUrban,197900
1994,4,2,46589,Urban,402000
1968,2,1,13560,SubUrban,110000
1972,3,2,10012,Urban,137500
2005,1,1,20896,Urban,423000
2000,3,2,11194,Urban,230500
1965,3,2,18450,Urban,129000
1994,3,2,8125,SubUrban,193500
1956,3,1,14175,Urban,168000
1922,2,1,11600,SubUrban,137500
2005,3,2,8633,Urban,173500
1925,3,2,6629,SubUrban,103600
1977,3,1,11250,Urban,165000
1957,3,2,14442,SubUrban,257500
1965,3,1,9200,Urban,140000
1978,3,2,2289,Urban,148500
1900,4,2,9600,Urban,87000
1924,2,1,9022,Urban,109500
2008,3,2,11844,SubUrban,372500
1961,3,1,9945,Urban,128500
1980,2,2,8012,SubUrban,143000
1932,3,1,4500,Urban,159434
1996,2,1,2887,Urban,173000
2002,3,2,11248,Urban,285000
1998,4,2,16770,Urban,221000
1984,3,2,5062,SubUrban,207500
2007,3,3,10207,Urban,227875
2004,2,2,5105,SubUrban,148800
2007,2,2,8089,Urban,392000
2005,2,2,7577,SubUrban,194700
2004,1,1,4426,Urban,141000
1994,4,3,21535,SubUrban,755000
1989,4,2,26178,Urban,335000
1921,2,1,5400,Urban,108480
1936,3,1,6120,Urban,141500
1987,2,2,13811,Urban,176000
1921,2,1,6000,SubUrban,89000
1952,2,1,6420,Urban,123500
1965,3,1,8450,SubUrban,138500
2004,2,2,4282,Urban,196000
2002,3,2,14331,Urban,312500
1969,3,1,9600,Urban,140000
2006,4,2,12438,Urban,361919
1900,4,2,7630,SubUrban,140000
2004,3,2,8400,Urban,213000
1930,3,2,5600,SubUrban,55000
1971,2,2,115149,Urban,302000
2006,2,2,6240,Rural,254000
2007,3,2,9018,Rural,179540
1966,3,1,7162,Rural,109900
1935,2,1,4130,Rural,52000
1900,2,1,8712,Rural,102776
1988,2,2,4671,Rural,189000
1970,3,1,9873,Rural,129000
1976,3,2,13517,SubUrban,130500
1974,3,2,10140,Urban,165000
1890,3,1,10800,SubUrban,159500
1973,3,1,10000,Urban,157000
1993,3,2,10542,Urban,341000
1969,3,1,9920,Urban,128500
1985,2,2,6563,Urban,275000
2004,1,1,4426,SubUrban,143000
1970,3,1,8120,Urban,124500
1954,4,2,8172,SubUrban,135000
2007,3,2,13286,Urban,320000
1970,3,1,6960,SubUrban,120500
1988,3,2,21695,Urban,222000
2007,2,2,7314,SubUrban,194500
1958,4,2,11475,Urban,110000
1925,2,1,6240,Urban,103000
1995,2,2,5389,Urban,236500
2003,3,2,9590,Urban,187500
1998,3,2,11404,SubUrban,222500
1961,3,1,10000,Urban,131400
